lon,lat,hurt,color,road,scale,level1,level2
121.54386,25.053471,1,受傷事故,復興北路,2,惡化,中度惡化
121.550783,25.046271,1,受傷事故,八德路3段,2,改善,有效改善
121.561749,25.04871,2,受傷事故,八德路4段,3,惡化,輕微惡化
121.57996,25.050304,3,受傷事故,八德路4段,3,惡化,輕微惡化
121.503998,25.11422,1,受傷事故,立賢路,2,惡化,中度惡化
121.555008,25.048493,1,受傷事故,八德路3段,2,改善,有效改善
121.583518,25.046676,1,受傷事故,忠孝東路6段,2,改善,微幅改善
121.544828,25.012114,1,受傷事故,基隆路3段,2,惡化,輕微惡化
121.52349,25.025309,1,受傷事故,羅斯福路1、2段,2,惡化,微幅改善
121.543715,25.047768,2,受傷事故,復興北路,3,惡化,中度惡化
121.546792,25.051524,1,受傷事故,南京東西路,4,惡化,中度惡化
121.517403,25.04549,1,受傷事故,公園路,2,惡化,中度惡化
121.506865,25.036456,1,受傷事故,寶慶路,2,惡化,中度惡化
121.580841,25.044274,1,受傷事故,中坡北路,2,改善,有效改善
121.528842,25.052444,1,受傷事故,南京東西路,2,惡化,中度惡化
121.558063,25.048338,2,受傷事故,八德路4段,2,惡化,輕微惡化
121.533278,25.054157,1,受傷事故,松江路,2,惡化,重度惡化
121.575182,25.081741,2,受傷事故,內湖路1段,2,惡化,中度惡化
121.528045,25.052292,1,受傷事故,南京東西路,2,惡化,中度惡化
121.564279,25.063275,2,受傷事故,塔悠路,2,惡化,重度惡化
121.552021,25.048079,1,受傷事故,八德路3段,2,改善,有效改善
121.519586,25.043966,2,受傷事故,愛國東路,2,惡化,輕微惡化
121.523358,25.068299,1,受傷事故,民族東路,2,惡化,重度惡化
121.520332,25.052505,1,受傷事故,南京東西路,2,惡化,中度惡化
121.559552,25.049599,2,受傷事故,光復南北路,2,惡化,輕微惡化
121.516784,25.04909,1,受傷事故,南京東西路,2,惡化,中度惡化
121.569428,25.048983,1,受傷事故,基隆路1段,1,惡化,輕微惡化
121.546355,25.051994,1,受傷事故,南京東西路,2,惡化,中度惡化
121.567897,25.083739,2,受傷事故,內湖路1段,3,惡化,中度惡化
121.510583,25.04736,1,受傷事故,中華路1段,2,惡化,重度惡化
121.553079,25.053604,1,受傷事故,健康路,2,改善,微幅改善
121.540287,25.025817,1,受傷事故,和平東路1、2、3段,2,惡化,重度惡化
121.547021,25.048829,1,受傷事故,南京東西路,2,惡化,中度惡化
121.523386,25.027199,1,受傷事故,和平東路1、2、3段,2,惡化,重度惡化
121.517403,25.04549,3,受傷事故,公園路,3,惡化,中度惡化
121.557496,25.044719,1,受傷事故,光復南北路,2,惡化,輕微惡化
121.572306,25.050215,1,受傷事故,塔悠路,2,惡化,重度惡化
121.530248,25.094587,3,受傷事故,福林路,3,惡化,中度惡化
121.545722,25.024891,2,受傷事故,和平東路1、2、3段,3,惡化,重度惡化
121.557931,25.043917,2,受傷事故,光復南北路,2,惡化,輕微惡化
121.557993,25.048456,1,受傷事故,光復南北路,2,惡化,輕微惡化
121.530603,25.095858,1,受傷事故,福林路,2,惡化,中度惡化
121.555477,25.103567,1,受傷事故,至善路2段,2,改善,有效改善
121.543798,25.050899,1,受傷事故,復興北路,2,惡化,中度惡化
121.564902,25.052827,1,受傷事故,南京東西路,2,惡化,中度惡化
121.581839,25.044454,2,受傷事故,中坡北路,3,改善,有效改善
121.524725,25.10178,2,受傷事故,福國路,3,惡化,重度惡化
121.517403,25.04549,1,受傷事故,公園路,2,惡化,中度惡化
121.575182,25.081741,1,受傷事故,內湖路1段,2,惡化,中度惡化
121.515998,25.05406,2,受傷事故,南京東西路,3,惡化,中度惡化
121.577524,25.050227,2,受傷事故,八德路4段,2,惡化,輕微惡化
121.555965,25.036066,1,受傷事故,光復南北路,2,惡化,輕微惡化
121.533131,25.045912,1,受傷事故,松江路,3,惡化,重度惡化
121.543715,25.047768,2,受傷事故,復興北路,2,惡化,中度惡化
121.510583,25.04736,2,受傷事故,中華路1段,2,惡化,重度惡化
121.517403,25.04549,1,受傷事故,公園路,2,惡化,中度惡化
121.557712,25.050709,1,受傷事故,光復南北路,2,惡化,輕微惡化
121.559137,25.047619,2,受傷事故,八德路4段,3,惡化,輕微惡化
121.557496,25.044719,1,受傷事故,光復南北路,2,惡化,輕微惡化
121.569636,25.057444,1,受傷事故,塔悠路,2,惡化,重度惡化
121.586546,25.059114,1,受傷事故,南京東西路,2,惡化,中度惡化
121.552432,25.052291,1,受傷事故,健康路,3,改善,微幅改善
121.557496,25.044719,1,受傷事故,光復南北路,2,惡化,輕微惡化
121.523358,25.068299,1,受傷事故,民族東路,2,惡化,重度惡化
121.549637,25.051919,2,受傷事故,南京東西路,2,惡化,中度惡化
121.539153,25.052914,1,受傷事故,南京東西路,2,惡化,中度惡化
121.539773,25.097169,1,受傷事故,福林路,2,惡化,中度惡化
121.530248,25.094587,1,受傷事故,福林路,2,惡化,中度惡化
121.544709,25.024605,1,受傷事故,和平東路1、2、3段,2,惡化,重度惡化
121.554678,25.045065,1,受傷事故,八德路4段,2,惡化,輕微惡化
121.552385,25.05186,1,受傷事故,南京東西路,1,惡化,中度惡化
121.567124,25.045186,1,受傷事故,基隆路1段,2,惡化,輕微惡化
121.557993,25.048456,1,受傷事故,光復南北路,2,惡化,輕微惡化
121.580841,25.044274,1,受傷事故,中坡北路,4,改善,有效改善
121.558319,25.028575,2,受傷事故,和平東路1、2、3段,2,惡化,重度惡化
121.556386,25.048462,2,受傷事故,八德路3段,4,改善,有效改善
121.575881,25.053647,1,受傷事故,南京東西路,2,惡化,中度惡化
121.528045,25.052292,1,受傷事故,南京東西路,2,惡化,中度惡化
121.508529,25.041335,2,受傷事故,中華路1段,2,惡化,重度惡化
121.522831,25.052609,1,受傷事故,南京東西路,2,惡化,中度惡化
121.530193,25.048646,2,受傷事故,松江路,2,惡化,重度惡化
121.55067,25.047545,2,受傷事故,八德路3段,3,改善,有效改善
121.510583,25.04736,2,受傷事故,中華路1段,3,惡化,重度惡化
121.522921,25.062953,1,受傷事故,復興北路,2,惡化,中度惡化
121.5582,25.018588,1,受傷事故,和平東路1、2、3段,2,惡化,重度惡化
121.557828,25.036991,1,受傷事故,光復南北路,2,惡化,輕微惡化
121.54395,25.097346,2,受傷事故,至善路2段,2,改善,有效改善
121.558063,25.048338,1,受傷事故,八德路4段,1,惡化,輕微惡化
121.525135,25.102125,2,受傷事故,福國路,3,惡化,重度惡化
121.559518,25.036531,1,受傷事故,光復南北路,2,惡化,輕微惡化
121.509197,25.047844,1,受傷事故,中華路1段,2,惡化,重度惡化
121.532559,25.055679,1,受傷事故,松江路,2,惡化,重度惡化
121.530421,25.05686,2,受傷事故,松江路,3,惡化,重度惡化
121.53261,25.055959,2,受傷事故,松江路,2,惡化,重度惡化
121.565138,25.051586,1,受傷事故,南京東西路,1,惡化,中度惡化
121.547548,25.024495,1,受傷事故,和平東路1、2、3段,2,惡化,重度惡化
121.557931,25.043917,1,受傷事故,光復南北路,2,惡化,輕微惡化
121.558066,25.04989,1,受傷事故,光復南北路,2,惡化,輕微惡化
121.520816,25.02961,1,受傷事故,愛國東路,2,惡化,輕微惡化
121.538203,25.033017,1,受傷事故,和平東路1、2、3段,2,惡化,重度惡化
121.555965,25.036066,1,受傷事故,光復南北路,2,惡化,輕微惡化
121.54441,25.05842,1,受傷事故,復興北路,2,惡化,中度惡化
121.560984,25.047491,1,受傷事故,八德路4段,2,惡化,輕微惡化
121.520816,25.02961,1,受傷事故,愛國東路,2,惡化,輕微惡化
121.556862,25.043112,1,受傷事故,光復南北路,2,惡化,輕微惡化
121.561111,25.034254,1,受傷事故,基隆路1段,2,惡化,輕微惡化
121.513949,25.049488,3,受傷事故,南京東西路,3,惡化,中度惡化
121.575881,25.053647,1,受傷事故,南京東西路,2,惡化,中度惡化
121.54724,25.045428,2,受傷事故,八德路3段,2,改善,有效改善
121.544158,25.047968,1,受傷事故,復興北路,2,惡化,中度惡化
121.557931,25.043917,1,受傷事故,光復南北路,2,惡化,輕微惡化
121.569428,25.048983,1,受傷事故,基隆路1段,2,惡化,輕微惡化
121.517428,25.034237,1,受傷事故,羅斯福路1、2段,2,惡化,微幅改善
121.510583,25.04736,1,受傷事故,中華路1段,2,惡化,重度惡化
121.518105,25.053319,2,受傷事故,南京東西路,3,惡化,中度惡化
121.549807,25.047546,1,受傷事故,八德路3段,2,改善,有效改善
121.557693,25.035297,2,受傷事故,光復南北路,3,惡化,輕微惡化
121.55779,25.034907,1,受傷事故,光復南北路,2,惡化,輕微惡化
121.516926,25.034175,1,受傷事故,羅斯福路1、2段,2,惡化,微幅改善
121.544334,25.055686,1,受傷事故,復興北路,2,惡化,中度惡化
121.563614,25.083926,1,受傷事故,內湖路1段,2,惡化,中度惡化
121.544985,25.061767,2,受傷事故,復興北路,2,惡化,中度惡化
121.569593,25.057176,1,受傷事故,塔悠路,3,惡化,重度惡化
121.57189,25.050003,1,受傷事故,八德路4段,2,惡化,輕微惡化
121.560761,25.048943,1,受傷事故,八德路4段,2,惡化,輕微惡化
121.554077,25.022375,2,受傷事故,和平東路1、2、3段,3,惡化,重度惡化
121.538448,25.067525,1,受傷事故,民族東路,2,惡化,重度惡化
121.557993,25.048456,2,受傷事故,光復南北路,3,惡化,輕微惡化
121.561087,25.048188,1,受傷事故,八德路4段,2,惡化,輕微惡化
121.551044,25.053246,1,受傷事故,南京東西路,2,惡化,中度惡化
121.556314,25.051089,1,受傷事故,南京東西路,2,惡化,中度惡化
121.509197,25.047844,1,受傷事故,中華路1段,2,惡化,重度惡化
121.523358,25.068299,1,受傷事故,民族東路,3,惡化,重度惡化
121.546798,25.024516,2,受傷事故,和平東路1、2、3段,3,惡化,重度惡化
121.513949,25.049488,1,受傷事故,南京東西路,2,惡化,中度惡化
121.543715,25.047768,1,受傷事故,復興北路,2,惡化,中度惡化
121.578216,25.051262,3,受傷事故,八德路4段,3,惡化,輕微惡化
121.537341,25.067923,1,受傷事故,民族東路,2,惡化,重度惡化
121.558063,25.048338,1,受傷事故,塔悠路,2,惡化,重度惡化
121.573967,25.080338,1,受傷事故,內湖路1段,3,惡化,中度惡化
121.568456,25.059439,1,受傷事故,塔悠路,2,惡化,重度惡化
121.530195,25.048725,1,受傷事故,松江路,2,惡化,重度惡化
121.555176,25.04764,1,受傷事故,八德路3段,2,改善,有效改善
121.538026,25.068339,1,受傷事故,建國北路3段,2,改善,有效改善
121.554703,25.059177,2,受傷事故,光復南北路,2,惡化,輕微惡化
121.557792,25.03328,2,受傷事故,光復南北路,2,惡化,輕微惡化
121.533131,25.045912,1,受傷事故,民族東路,2,惡化,重度惡化
121.549637,25.051919,1,受傷事故,南京東西路,2,惡化,中度惡化
121.573918,25.057459,2,受傷事故,南京東西路,2,惡化,中度惡化
121.549637,25.051919,2,受傷事故,南京東西路,3,惡化,中度惡化
121.533131,25.045912,2,受傷事故,松江路,2,惡化,重度惡化
121.572965,25.080622,1,受傷事故,內湖路1段,2,惡化,中度惡化
121.539696,25.064478,1,受傷事故,民族東路,3,惡化,重度惡化
121.551451,25.024274,1,受傷事故,和平東路1、2、3段,3,惡化,重度惡化
121.522921,25.062953,1,受傷事故,復興北路,2,惡化,中度惡化
121.556486,25.052571,1,受傷事故,南京東西路,2,惡化,中度惡化
121.557496,25.044719,1,受傷事故,光復南北路,2,惡化,輕微惡化
121.523386,25.027199,1,受傷事故,和平東路1、2、3段,2,惡化,重度惡化
121.517403,25.04549,1,受傷事故,公園路,2,惡化,中度惡化
121.519586,25.043966,1,受傷事故,愛國東路,3,惡化,輕微惡化
121.533192,25.049685,1,受傷事故,松江路,3,惡化,重度惡化
121.550625,25.046075,1,受傷事故,八德路3段,2,改善,有效改善
121.562895,25.083389,1,受傷事故,內湖路1段,2,惡化,中度惡化
121.555008,25.048493,1,受傷事故,八德路3段,2,改善,有效改善
121.581456,25.051352,2,受傷事故,忠孝東路6段,4,改善,微幅改善
121.532338,25.052244,1,受傷事故,南京東西路,1,惡化,中度惡化
121.569428,25.048983,3,受傷事故,基隆路1段,3,惡化,輕微惡化
121.556935,25.042289,1,受傷事故,光復南北路,2,惡化,輕微惡化
121.588302,25.049441,1,受傷事故,忠孝東路6段,1,改善,微幅改善
121.588302,25.049441,1,受傷事故,忠孝東路6段,1,改善,微幅改善
121.556862,25.043112,1,受傷事故,光復南北路,2,惡化,輕微惡化
121.55556,25.058427,1,受傷事故,復興北路,1,惡化,中度惡化
121.538966,25.052154,1,受傷事故,南京東西路,2,惡化,中度惡化
121.559977,25.03454,1,受傷事故,基隆路1段,2,惡化,輕微惡化
121.564229,25.048963,1,受傷事故,八德路4段,1,惡化,輕微惡化
121.544773,25.062448,1,受傷事故,復興北路,3,惡化,中度惡化
121.56453,25.049772,2,受傷事故,八德路4段,3,惡化,輕微惡化
121.510583,25.04736,2,受傷事故,中華路1段,3,惡化,重度惡化
121.535865,25.025559,1,受傷事故,和平東路1、2、3段,2,惡化,重度惡化
121.523358,25.068299,1,受傷事故,民族東路,2,惡化,重度惡化
121.564826,25.082419,1,受傷事故,內湖路1段,2,惡化,中度惡化
121.543779,25.066056,2,受傷事故,復興北路,2,惡化,中度惡化
121.544416,25.059114,2,受傷事故,復興北路,3,惡化,中度惡化
121.558162,25.045496,1,受傷事故,光復南北路,3,惡化,輕微惡化
121.528045,25.052292,1,受傷事故,南京東西路,2,惡化,中度惡化
121.530516,25.026074,1,受傷事故,和平東路1、2、3段,2,惡化,重度惡化
121.56555,25.04256,1,受傷事故,基隆路1段,1,惡化,輕微惡化
121.558442,25.08507,1,受傷事故,內湖路1段,2,惡化,中度惡化
121.544217,25.049985,1,受傷事故,復興北路,2,惡化,中度惡化
121.556862,25.043112,2,受傷事故,光復南北路,3,惡化,輕微惡化
121.569428,25.048983,1,受傷事故,基隆路1段,2,惡化,輕微惡化
121.542961,25.015795,1,受傷事故,基隆路3段,2,惡化,輕微惡化
121.530248,25.094587,2,受傷事故,福林路,2,惡化,中度惡化
121.564753,25.049177,1,受傷事故,八德路4段,2,惡化,輕微惡化
121.580096,25.045003,2,受傷事故,中坡北路,4,改善,有效改善
121.531454,25.055142,1,受傷事故,松江路,2,惡化,重度惡化
121.510583,25.04736,3,受傷事故,中華路1段,3,惡化,重度惡化
121.507761,25.038869,1,受傷事故,中華路1段,2,惡化,重度惡化
121.567328,25.045548,1,受傷事故,基隆路1段,2,惡化,輕微惡化
121.550036,25.051912,1,受傷事故,南京東西路,2,惡化,中度惡化
121.556999,25.040177,1,受傷事故,光復南北路,2,惡化,輕微惡化
121.567783,25.045043,2,受傷事故,基隆路1段,2,惡化,輕微惡化
121.523358,25.068299,1,受傷事故,民族東路,2,惡化,重度惡化
121.546876,25.024512,1,受傷事故,和平東路1、2、3段,2,惡化,重度惡化
121.529714,25.054981,1,受傷事故,南京東西路,2,惡化,中度惡化
121.545019,25.060309,1,受傷事故,復興北路,2,惡化,中度惡化
121.558063,25.048338,1,受傷事故,塔悠路,2,惡化,重度惡化
121.582123,25.049948,1,受傷事故,中坡北路,2,改善,有效改善
121.56555,25.04256,1,受傷事故,基隆路1段,3,惡化,輕微惡化
121.56047,25.051697,1,受傷事故,南京東西路,2,惡化,中度惡化
121.552925,25.048072,2,受傷事故,八德路3段,3,改善,有效改善
121.544158,25.047968,1,受傷事故,復興北路,2,惡化,中度惡化
121.519586,25.043966,1,受傷事故,愛國東路,2,惡化,輕微惡化
121.543875,25.054241,1,受傷事故,復興北路,2,惡化,中度惡化
121.535836,25.066504,2,受傷事故,建國北路3段,2,改善,有效改善
121.533869,25.061115,1,受傷事故,松江路,2,惡化,重度惡化
121.544369,25.013269,1,受傷事故,基隆路3段,2,惡化,輕微惡化
121.522476,25.027345,1,受傷事故,羅斯福路1、2段,2,惡化,微幅改善
121.572711,25.044385,1,受傷事故,基隆路1段,2,惡化,輕微惡化
121.521936,25.029778,1,受傷事故,杭州南路2段,2,改善,微幅改善
121.555965,25.036066,1,受傷事故,光復南北路,2,惡化,輕微惡化
121.580841,25.044274,1,受傷事故,中坡北路,2,改善,有效改善
121.586546,25.059114,2,受傷事故,南京東西路,2,惡化,中度惡化
121.550144,25.048929,1,受傷事故,南京東西路,2,惡化,中度惡化
121.528842,25.052444,1,受傷事故,南京東西路,2,惡化,中度惡化
121.522907,25.032437,1,受傷事故,愛國東路,2,惡化,輕微惡化
121.511121,25.046876,1,受傷事故,寶慶路,2,惡化,中度惡化
121.511844,25.054072,1,受傷事故,南京東西路,2,惡化,中度惡化
121.592001,25.049799,1,受傷事故,忠孝東路6段,2,改善,微幅改善
121.564279,25.063275,3,受傷事故,塔悠路,3,惡化,重度惡化
121.551958,25.051327,1,受傷事故,南京東西路,2,惡化,中度惡化
121.559398,25.032416,1,受傷事故,光復南北路,2,惡化,輕微惡化
121.535617,25.068383,1,受傷事故,民族東路,2,惡化,重度惡化
121.527936,25.058174,1,受傷事故,松江路,2,惡化,重度惡化
121.530248,25.094587,1,受傷事故,福林路,2,惡化,中度惡化
121.523358,25.068299,1,受傷事故,民族東路,2,惡化,重度惡化
121.523152,25.054866,1,受傷事故,松江路,3,惡化,重度惡化
121.535105,25.097795,1,受傷事故,福林路,2,惡化,中度惡化
121.557212,25.086797,2,受傷事故,內湖路1段,2,惡化,中度惡化
121.558239,25.019262,2,受傷事故,和平東路1、2、3段,2,惡化,重度惡化
121.570173,25.053863,2,受傷事故,塔悠路,2,惡化,重度惡化
121.533176,25.048863,1,受傷事故,松江路,2,惡化,重度惡化
121.592479,25.053844,1,受傷事故,忠孝東路6段,2,改善,微幅改善
121.569428,25.048983,1,受傷事故,基隆路1段,2,惡化,輕微惡化
121.546792,25.051524,2,受傷事故,南京東西路,3,惡化,中度惡化
121.528045,25.052292,1,受傷事故,南京東西路,3,惡化,中度惡化
121.570387,25.0529,2,受傷事故,塔悠路,2,惡化,重度惡化
121.530248,25.094587,1,受傷事故,福林路,2,惡化,中度惡化
121.541258,25.052185,1,受傷事故,南京東西路,2,惡化,中度惡化
121.569428,25.048983,2,受傷事故,基隆路1段,2,惡化,輕微惡化
121.569428,25.048983,1,受傷事故,基隆路1段,2,惡化,輕微惡化
121.543092,25.06349,1,受傷事故,復興北路,3,惡化,中度惡化
121.517403,25.04549,2,受傷事故,公園路,2,惡化,中度惡化
121.550861,25.045275,1,受傷事故,八德路3段,2,改善,有效改善
121.563547,25.040272,1,受傷事故,基隆路1段,1,惡化,輕微惡化
121.544115,25.065255,1,受傷事故,復興北路,2,惡化,中度惡化
121.555176,25.059792,1,受傷事故,光復南北路,2,惡化,輕微惡化
121.530782,25.068154,1,受傷事故,民族東路,2,惡化,重度惡化
121.548872,25.082975,1,受傷事故,內湖路1段,3,惡化,中度惡化
121.563162,25.054342,1,受傷事故,健康路,2,改善,微幅改善
121.517403,25.04549,1,受傷事故,公園路,2,惡化,中度惡化
121.510583,25.04736,2,受傷事故,中華路1段,3,惡化,重度惡化
121.5475,25.053204,1,受傷事故,南京東西路,4,惡化,中度惡化
121.539773,25.097169,2,受傷事故,福林路,3,惡化,中度惡化
121.509197,25.047844,1,受傷事故,中華路1段,2,惡化,重度惡化
121.519429,25.046029,1,受傷事故,中華路1段,2,惡化,重度惡化
121.541752,25.024895,2,受傷事故,和平東路1、2、3段,3,惡化,重度惡化
121.533131,25.045912,1,受傷事故,民族東路,3,惡化,重度惡化
121.555361,25.056798,1,受傷事故,光復南北路,2,惡化,輕微惡化
121.556456,25.044066,2,受傷事故,光復南北路,3,惡化,輕微惡化
121.5594,25.04983,1,受傷事故,光復南北路,3,惡化,輕微惡化
121.558333,25.020457,1,受傷事故,和平東路1、2、3段,2,惡化,重度惡化
121.51015,25.046886,1,受傷事故,中華路1段,2,惡化,重度惡化
121.533131,25.045912,2,受傷事故,松江路,3,惡化,重度惡化
121.558715,25.049693,1,受傷事故,光復南北路,2,惡化,輕微惡化
121.557993,25.048456,1,受傷事故,南京東西路,2,惡化,中度惡化
121.572306,25.050215,1,受傷事故,南京東西路,2,惡化,中度惡化
121.57004,25.0498,2,受傷事故,八德路4段,3,惡化,輕微惡化
121.54395,25.097346,1,受傷事故,至善路2段,2,改善,有效改善
121.571647,25.050659,1,受傷事故,塔悠路,3,惡化,重度惡化
121.533131,25.045912,1,受傷事故,松江路,2,惡化,重度惡化
121.592232,25.054062,1,受傷事故,中坡北路,2,改善,有效改善
121.524139,25.101839,1,受傷事故,福國路,3,惡化,重度惡化
121.5414,25.024671,2,受傷事故,和平東路1、2、3段,2,惡化,重度惡化
121.543715,25.047768,4,受傷事故,復興北路,4,惡化,中度惡化
121.570065,25.050049,3,受傷事故,八德路4段,3,惡化,輕微惡化
121.528045,25.052292,1,受傷事故,南京東西路,2,惡化,中度惡化
121.511844,25.054072,1,死亡事故,南京東西路,2,惡化,中度惡化
121.528045,25.052292,1,死亡事故,南京東西路,2,惡化,中度惡化
121.510583,25.04736,1,死亡事故,中華路1段,2,惡化,重度惡化
121.528045,25.052292,1,死亡事故,南京東西路,2,惡化,中度惡化
121.581001,25.050744,2,死亡事故,八德路4段,2,惡化,輕微惡化
121.522831,25.052609,1,死亡事故,民族東路,2,惡化,重度惡化
121.534846,25.023952,4,死亡事故,新生南路3段,4,惡化,重度惡化
121.559589,25.085128,2,死亡事故,內湖路1段,2,惡化,中度惡化
121.549328,25.047841,2,死亡事故,八德路3段,2,改善,有效改善
121.568353,25.0823114,1,受傷事故,內湖路1段,2,惡化,中度惡化
121.5804407,25.044824,1,受傷事故,中坡北路,2,改善,有效改善
121.5867819,25.0498537,1,受傷事故,忠孝東路6段,2,改善,微幅改善
121.5865734,25.0487363,1,受傷事故,忠孝東路6段,2,改善,微幅改善
121.5147144,25.1017914,1,受傷事故,福國路,2,惡化,重度惡化
121.5799194,25.0495565,1,受傷事故,中坡北路,2,改善,有效改善
121.5698363,25.0584926,2,受傷事故,塔悠路,2,惡化,重度惡化
121.519088,25.102333,1,受傷事故,福國路,2,惡化,重度惡化
121.55894,25.085136,1,受傷事故,內湖路1段,2,惡化,中度惡化
121.592607,25.050421,1,受傷事故,忠孝東路6段,2,改善,微幅改善
121.551135,25.053078,1,受傷事故,南京東西路,2,惡化,中度惡化
121.545654,25.018168,1,受傷事故,基隆路3段,2,惡化,輕微惡化
121.580061,25.048867,1,受傷事故,中坡北路,2,改善,有效改善
121.55894,25.085136,1,受傷事故,內湖路1段,2,惡化,中度惡化
121.56069,25.084509,1,受傷事故,內湖路1段,2,惡化,中度惡化
121.586573,25.048736,2,受傷事故,忠孝東路6段,2,改善,微幅改善
121.592607,25.050421,2,受傷事故,忠孝東路6段,2,改善,微幅改善
121.559388,25.085135,1,受傷事故,內湖路1段,2,惡化,中度惡化
121.559372,25.085065,1,受傷事故,內湖路1段,2,惡化,中度惡化
121.553738,25.050842,1,受傷事故,南京東西路,2,惡化,中度惡化
121.580061,25.048867,1,受傷事故,中坡北路,3,改善,有效改善
121.580061,25.048867,3,受傷事故,中坡北路,3,改善,有效改善
121.589572,25.050072,1,受傷事故,忠孝東路6段,2,改善,微幅改善
121.580061,25.048867,2,受傷事故,中坡北路,3,改善,有效改善
